,code_ligne,variante,stop_1,stop_2,distance,distance_m
382,008t,2,5452,5453,0.0,464.22085261220224
383,008t,2,5453,5454F,0.0,409.14789502085915
384,008t,2,5454F,5455,0.0,501.000998002998
385,008t,2,5455,5456,0.0,227.7827912727386
386,008t,2,5456,5451F,0.0,569.0869880782726
387,008t,2,5451F,5459F,0.0,243.28789530101986
388,008t,2,5459F,5460F,0.0,463.2116147075762
389,008t,2,5460F,5461F,0.0,482.83019789569914
390,008t,2,5461F,5462F,0.0,331.409112729267
391,008t,2,5462F,5468,0.0,211.9929244102265
392,008t,2,5468,3481,0.0,409.1771743389439
393,008t,2,3481,5208,0.0,200.4109777432398
394,008t,2,5208,1046G,0.0,316.0142401854701
395,008t,2,1046G,5466,0.0,398.7580720186113
396,008t,2,5466,5467,0.0,536.1488039714401
397,008t,2,5467,5475,0.0,467.93369188379035
398,008t,2,5475,5469,0.0,236.61149591682988
399,008t,2,5469,5470,0.0,500.6365947471279
400,008t,2,5470,6361,0.0,352.7846368537043
401,009t,1,0470F,6864F,0.0,564.8381361062683
402,009t,1,6864F,6865F,0.0,351.78835967096705
403,009t,1,6865F,1675F,0.0,333.6774790122995
404,009t,1,1675F,1677F,0.0,395.26927530481805
405,009t,1,1677F,1679F,0.0,450.3176656539248
406,009t,1,1679F,1681F,0.0,602.3664167265582
407,009t,1,1681F,1683F,0.0,371.9229221223347
408,009t,1,1683F,1685F,0.0,410.3159758040149
409,009t,1,1685F,1687F,0.0,525.1428853179041
410,009t,2,1686F,1684F,0.0,455.17628453161024
411,009t,2,1684F,1682F,0.0,385.2048805505992
412,009t,2,1682F,1680F,0.0,381.28207406064627
413,009t,2,1680F,1678F,0.0,635.6101006119956
414,009t,2,1678F,1676F,0.0,451.6219658076772
415,009t,2,1676F,1674F,0.0,391.17006531688537
416,009t,2,1674F,1014F,0.0,330.63118425216624
417,009t,2,1014F,6805F,0.0,355.14477329675543
418,009t,2,6805F,0473F,0.0,556.3595959449248
419,012b,1,9600B,3017,0.0,4247.810847954508
420,012b,1,3017,5048,0.0,1417.8067569312823
421,012b,1,5048,2695,0.0,1460.4574625780785
422,012b,1,2695,2250,0.0,1162.881335304682
423,012b,1,2250,1270B,0.0,1554.345553601245
424,012b,1,1270B,1162C,0.0,843.51627133092
425,012b,1,1162C,6432,0.0,511.994140591472
426,012b,1,6432,1780,0.0,179.40504452215686
427,012b,2,1780,6433,0.0,235.1122497871945
428,012b,2,6433,1131B,0.0,466.14160938495934
429,012b,2,1131B,1418B,0.0,835.3367285113102
430,012b,2,1418B,2247,0.0,1524.9883573326172
431,012b,2,2247,4556,0.0,1198.2503578134283
432,012b,2,4556,5044,0.0,1618.331823205622
433,012b,2,5044,3018,0.0,1165.8883694419442
434,012b,2,3018,9600B,0.0,4183.084507872151
435,013b,1,4111,1179,0.0,243.31255619059203
436,013b,1,1179,1180,0.0,213.06337085477645
437,013b,1,1180,1183,0.0,330.09241130325915
438,013b,1,1183,4152,0.0,327.51946507039855
439,013b,1,4152,1303,0.0,477.30074376644336
440,013b,1,1303,2422,0.0,427.86039779348414
441,013b,1,2422,4158,0.0,442.5369137145486
442,013b,1,4158,4163,0.0,273.4702908909851
443,013b,1,4163,1710,0.0,253.18522863705385
444,013b,1,1710,9103,0.0,331.85683660277897
445,013b,1,9103,1065,0.0,425.6195484232368
446,013b,1,1065,1066,0.0,226.03539545832197
447,013b,1,1066,1067,0.0,181.89282558693733
448,013b,1,1067,1711,0.0,306.4338917286946
449,013b,1,1711,1599,0.0,350.0107569775698
450,013b,1,1599,2850,0.0,322.8157369150395
451,013b,1,2850,1328,0.0,393.88227936783346
452,013b,1,1328,1721,0.0,412.64279952520906
453,013b,1,1721,1722,0.0,410.6929875222949
454,013b,1,1722,1727,0.0,180.08053753806934
455,013b,2,1732,1743,0.0,209.15305400591214
456,013b,2,1743,1744,0.0,360.1933508547958
457,013b,2,1744,1334,0.0,459.33691338709633
458,013b,2,1334,2849,0.0,380.63131768155824
459,013b,2,2849,1606,0.0,233.60693482857823
460,013b,2,1606,1746,0.0,448.6833738840708
461,013b,2,1746,1008,0.0,221.50846484954022
462,013b,2,1008,1009,0.0,180.62391868188442
463,013b,2,1009,1010,0.0,310.17736861350795
464,013b,2,1010,1747,0.0,352.54826619910926
465,013b,2,1747,1748,0.0,393.9031353010438
466,013b,2,1748,4112,0.0,225.257630281418
467,013b,2,4112,4105,0.0,264.03530067018676
468,013b,2,4105,2423,0.0,417.0420242613448
469,013b,2,2423,2519,0.0,365.0926594715504
470,013b,2,2519,4116,0.0,631.4657552076756
471,013b,2,4116,1112,0.0,290.0431002454635
472,013b,2,1112,1114B,0.0,287.75857936819193
473,013b,2,1114B,1115,0.0,215.23243250030885
474,013b,2,1115,4111,0.0,240.66989840858787
475,014b,1,4264B,6481,0.0,479.00417534714666
476,014b,1,6481,4228,0.0,216.69563908856125
477,014b,1,4228,4205B,0.0,242.36239394757217
478,014b,1,4205B,4223,0.0,409.6048461627277
479,014b,1,4223,1328,0.0,478.4153530145119
480,014b,1,1328,1721,0.0,412.64279952520906
481,014b,1,1721,1722,0.0,410.6929875222949
482,014b,1,1722,1368,0.0,552.6345989892417
483,014b,1,1368,1768,0.0,286.7579641439688
484,014b,1,1768,2801,0.0,482.71495729882986
485,014b,1,2801,2803,0.0,246.41834347304587
486,014b,1,2803,6800,0.0,297.3213749463701
487,014b,1,6800,2584,0.0,245.37192178405428
488,014b,1,2584,2586,0.0,284.8209613072587
489,014b,1,2586,1775,0.0,401.6422786510329
490,014b,1,1775,1782,0.0,261.684485592863
491,014b,1,1782,5009,0.0,569.1311360310557
492,014b,1,5009,5011,0.0,257.9457307264456
493,014b,1,5011,1019,0.0,428.05256686533255
494,014b,1,1019,1351,0.0,364.21883531744464
495,014b,1,1351,1349,0.0,241.11773057990075
496,014b,1,1349,1016,0.0,273.72431386341987
497,014b,1,1016,1024,0.0,261.283371074395
498,014b,1,1024,1083,0.0,264.09278672466615
499,014b,2,1082,1052,0.0,208.40585404445815
500,014b,2,1052,1051,0.0,225.94247055390008
501,014b,2,1051,1348,0.0,324.4510748941844
502,014b,2,1348,1350,0.0,241.72401618374613
503,014b,2,1350,1056,0.0,422.78564308641415
504,014b,2,1056,5074,0.0,386.80912605574025
505,014b,2,5074,5076,0.0,262.17932794177347
506,014b,2,5076,1766,0.0,533.0105908891576
507,014b,2,1766,1767,0.0,217.14485948324358
508,014b,2,1767,2515B,0.0,518.1614516731141
509,014b,2,2515B,2498,0.0,236.27799305057007
510,014b,2,2498,6869,0.0,192.22075850438333
511,014b,2,6869,2871,0.0,255.6654454555865
512,014b,2,2871,2873,0.0,268.60932597360835
513,014b,2,2873,1755,0.0,597.1620969217716
514,014b,2,1755,1103,0.0,389.0514104845271
515,014b,2,1103,1743,0.0,363.79252328765637
516,014b,2,1743,1744,0.0,360.1933508547958
517,014b,2,1744,4071,0.0,473.0627548222109
518,014b,2,4071,4072B,0.0,474.3752523056121
519,014b,2,4072B,4261,0.0,421.5658904607795
520,014b,2,4261,4268,0.0,248.90962215229848
521,014b,2,4268,6482,0.0,213.9369065869655
522,014b,2,6482,4265,0.0,422.99130014693
523,017b,1,4297,4298,0.0,360.06943774777665
524,017b,1,4298,4299,0.0,366.9604883362785
525,017b,1,4299,4310,0.0,293.53194034039973
526,017b,1,4310,4311,0.0,542.2001475470105
527,017b,1,4311,1453,0.0,326.5348373451139
528,017b,1,1453,4313,0.0,197.6689151080665
529,017b,1,4313,4347,0.0,338.92329515688357
530,017b,1,4347,4349,0.0,354.79007877898727
531,017b,1,4349,4342,0.0,263.8730755495907
532,017b,1,4342,4289,0.0,254.691970819655
533,017b,1,4289,4288,0.0,222.80035906613796
534,017b,1,4288,4290,0.0,191.45623520794211
535,017b,1,4290,1472,0.0,591.105828088361
536,017b,1,1472,4319,0.0,210.92949058870838
537,017b,1,4319,9059,0.0,286.5095111859161
538,017b,2,9059,4287,0.0,296.7237772744207
539,017b,2,4287,4292,0.0,228.77936969928035
540,017b,2,4292,4341,0.0,295.6112311804137
541,017b,2,4341,4351,0.0,253.74396544548603
542,017b,2,4351,4348,0.0,401.2605138809449
543,017b,2,4348,4355,0.0,291.48070262025925
544,017b,2,4355,1455,0.0,276.21187519728403
545,017b,2,1455,4357,0.0,296.90570893803977
